құлағыма,сыбырлап,:,–,«,1
деген,.,Бәріміз,сол,нұсқаған,1
.,Іші,ұп-ұзын,қап-қараңғы,",",1
",",жусанның,иісі,...,–,2
.,Қосымның,мұрнынан,қан,дірдектеп,1
–,Иә,",",саған,",",1
біразға,дейін,тұра,алмай,ыңқылдап,1
ұясына,қонуы,.,Күн,ұясына,1
тұрған,бала,оның,сөзіне,күлімсіреп,1
Жоға,.,Әлгі,шал,ертеден,1
",",жаутаңдап,жатыр,.,Домбыға,1
сайын,үйінен,әкелген,қағазды,бір-бір,1
Суға,түспей,қалай,шыдайсыңдар,?,1
кетті,.,Сол,жолы,Аянның,1
",",бірақ,ешкім,жатпапты,.,1
бетінше,жаза,беретін,.,Біз,1
күннен-ақ,ол,зеректігімен,көзге,түсті,1
бір,ізбен,шұбырып,ауылға,қайтқан,1
білетінбіз,.,Кешкісін,тесік,пималарымыз,1
жетім,бала,туралы,болушы,еді,1
іргесінен,әрі,қарай,үңірейіп,жатқан,1
неге,жыламайды-ей,?,»,–,1
Әнге,екінші,соқадағы,әйел,",",1
.,Бірақ,Аян,бір,түнде,1
қойып,",",12,өзің,сырттай,1
нұсқаған,жаққа,қарадық,.,Анадай,1
болмаса,басынан,тоқай,алып,жылатып,1
Біз,бір,кештің,өзінде,ұзындығы,1
ылғи,темір,пештің,аузында,от,1
иісі,шығып,тұрғандай,көрінді,бізге,1
Қосымды,соғу,керек,",",–,1
тепкілеп,жылағың,келеді,.,Сенің,1
жер,тепкілеп,жылағың,келеді,.,1
түтінді,ішіне,тартамын,деп,қақалып-жөтеліп,1
тұмсығын,тықты,.,–,Қарашы,1
тек,бұзаулы,қоңыр,сиыры,бар,1
күлдік,.,Жаңа,келген,бала,1
кеу-кеулеп,алдық,.,–,О,1
сондықтан,оны,тырнауық,дейтінбіз,",",1
Кей,күні,Аян,сирек,тістерін,1
алып,",",үгіп-үгіп,аузына,құятын,1
сап,",",Бапай,шалдың,үйіне,1
.,Мен,сүмірейіп,кеп,",",1
–,деп,кінжіді,.,–,1
да,",",келе-келе,ертегінің,күлкілі,1
төбесіне,барайық,»,",",–,1
ертегілерінде,болушы,еді,.,Аян,1
Бір,кезде,қотыр,тай,:,1
бітіреді,де,",",біреуіміздің,шанамызды,1
еткізді,.,Бірақ,үстінен,басып,1
бөлмеден,бос,тұрған,шелек,",",1
күтіп,жүргендей-ақ,екі,айдан,кейін,1
түндігін,жел,шайқаған,киіз,үйдей,1
осы,жалғыз,көшенің,басынан-аяғына,дейін,1
Қоңыр,сиырымыз,бар,.,–,1
Тағы,да,?,..,»,1
белдескен,кезде,",",ол,Аянды,1
басына,көтере,азан-қазан,қып,бақырып,1
қылған,қара,топыраққа,Есікбайдың,бетаузын,1
иіскегің,кеп,тұрса,.,Ол,1
.,Үш-төрт,күн,өткен,соң,1
шыға,шатынап,",",танауын,пысылдатып,1
ішіп,ап,",",Бапайдың,үйіне,1
енді,Аянды,итермелей,түсіп,",",1
тағы,да,.,Енді,осылай,1
мелшиген,күйде,жалтақжалтақ,етіп,",",1
қалқиып,тұрады,да,қояды,.,1
Мен,осы,үйдегі,жалғыз,орындыққа,1
сары,тонының,омырауына,тұмсығын,тығып,1
еліккіш,келеді,ғой,.,Сырғанақты,1
–,Жоқ,",",ертең,айтамын,1
лезде,лапылдап,көтеріліп,кетті,.,1
айтар,сөзге,",",көңілге,олқы,1
кетеміз,.,Өне,бойың,салдырап,1
ойлай,бастаған,.,Бірақ,ол,1
бетім-ай,",",бұ,дүбірлеген,не,1
шанамызды,бергенбіз,",",басын,шайқып,1
бала,:,–,Ойбай,",",1
ойлап,кеп,",",кешкілік,бізге,1
бол,.,Адам,болсаң,тауып,1
Аянға,шанамызды,кезекпекезек,сырғанауға,беріп,1
.,Сондықтан,Аянға,кеп,:,1
:,19,Анау,пальтоны,әперші,1
етіп,кеп,бетті,тырнайтын,",",1
да,",",тағы,да,тепті-ай,1
.,Ортамыздан,екі,атаман,сайлап,1
болмаса,",",жүрісіне,жүріс,қоса,1
жылаған,жоқ,.,Қарлы,топырақ,1
Үгіпүгіп,шала,піскен,дәнді,мен,1
де,қызық,ертегі,айтамын,»,2
менің,ағамның,орнына,өз,ағаңның,1
жылға,дейін,тоқтаған,еді,.,1
намысымыз,жәбермейді,.,Өйткені,алғаш,1
",",–,деп,қояды,.,1
Ешкіөлместің,күнгейінде,жайылған,мал,ешкім,1
дайын,отыратынбыз,.,Ғажап,ертегілер,1
Тіпті,ол,жағын,сөз,ете,1
",",жалғыз,көзді,дәулер,",",1
таза,бір,бала,тұр,екен,1
арбамен,ауылға,жібердік,.,Осыдан,1
жұдырығын,иіскегің,кеп,тұрса,.,1
әр,нәрсені,бір,сұрап,үнемі,1
во,!,..,–,деп,1
сүйкімді,көрініп,",",қызыға,қарадық,1
.,–,Жүр,",",ал,1
:,–,«,Нуы,»,1
қатар,тіздік,те,",",өзіміз,1
ап,",",оны,талай,жерге,1
түсіп,",",тым-тырақай,қаша,жөнелдік,1
",",–,дейді,.,Екеуі,1
екен,.,Суға,түспей,қалай,1
?,–,деп,әзілдейді,.,1
деп,тұс-тұстан,жалынатынбыз,оған,.,1
Есікбай,ғана,тік,келуші,еді,1
бар,.,Біз,тым-тырыс,боп,1
береміз,.,Өзіне,бастан-аяқ,шұқшия,1
",",жұмсақ,шөпке,тығыла,түсеміз,1
төрт,бүктеліп,шырқырап,жатқан,Аянды,1
жарған,жоқ,.,Бәрімізбен,де,1
ұстап,",",сол,аяғын,көлденеңінен,1
да,",",менің,бас,изеуімді,1
",",Есікбай,оны,ұзын,қолымен,1
әрі,",",осы,жеті,түнде,1
есі,дұрыс,адам,ойнай,ма,1
..,–,деп,баж,ете,1
құнын,осы,қаршадай,жетім,баладан,1
күні,қораның,төбесіне,жиналғанымызда,көпшілігіміз,1
Асылбек,шал,мал,қорасының,ішін,1
қызараңдап,теріс,айналып,кетті,.,1
айналып,",",көз,қарауытып,",",1
еді-ау,",",ә,?,Мұнан,1
Жарғақ,сары,тон,киген,Аян,1
Әй,",",анау,кім-ей,?,1
де,жусанның,иісі,шығып,тұрады,1
.,Түнде,қотыр,тайға,қанат,1
келуі,біз,үшін,нағыз,мереке,1
даусы,дірілдеп,жалынышты,шықты,.,1
әлгі,екі,атаманның,қарауына,тең,1
тартып,",",дір-дір,етеді,.,1
аузына,құятын,.,–,Жеп,1
–,Әй,",",мен,сендерге,1
күні,бүгінге,дейін,",",сонан,1
бастап,үйдің,бұрышын,айналды,.,1
",",бір,рет,теуіп,кел,1
8,Мә,",",Аян,",",1
",",иіскеп,көріңдерші,",",–,1
?,–,деді,.,–,2
те,",",келе-келе,шетімізден,сараңси,1
соқаның,басына,міндік,.,Жесір,1
.,–,Ал,",",жүріңдер,1
иіні,салбырап,кете,барды,.,1
қарай,үңірейіп,жатқан,қорқынышты,терең,1
қайырам,деп,жүргенде,",",айдалада,1
шуласып,",",Аянның,бастауымен,Бапай,1
!,..,Біз,бір,кештің,1
күрсініп,.,Мен,жұмысыма,кеттім,1
көзіне,жас,алмапты,.,Біз,1
",",Асылбек,:,–,Шыда,1
бірде-бірі,Тұржанға,ұқсап,:,«,1
",",ақ,жейдесін,киіп,түк,1
ояна,кетсем,апам,жаңа,сауып,1
.,–,Салып,берің,қалай-ей,1
ойыннан,кейін,мен,кешкі,тамақты,1
қалдық,.,–,Анау,ат,1
қамшыны,қолымызға,22,алып,",",1
тұрған,қара,пальтоны,нұсқап,.,1
осыны,алып,бара,жатқан,ненің,1
Сенімен,бе,",",қойшы-ей,!,1
ақырды,Тұржанған,.,Біз,",",1
Бар,білетініміз,:,Аян,күнде,1
ауыр,шердің,лықсып,шыққан,бір,1
келдіңдер,ғой,",",ә,?,1
жүрдік,те,",",келе-келе,шетімізден,1
Әй,",",жетпегірлер,",",тұрыңдар,1
да,:,–,Тез,іліп,1
дәл,астымыздан,–,қораның,ішінен,1
барлары,шанасын,сүйретіп,",",конькиі,1
.,Ал,Аян,болса,кәдімгідей,1
жүгіріп,келе,жатқан,Аянды,көргендей,1
Бермеймін,со,...,–,деп,1
қонды,дегенше-ақ,жүзі,жадырап,сала,1
алақандай,газет,жыртындысы,мен,темекі,1
да,тап,берген,.,Аян,1
деп,менің,апам,орнынан,тұрды,1
темекі,ұрлап,алып,шыққан,екенбіз,1
сыбырлағандай,дауыспен,:,–,Ертеде,1
кеп,үймелегендері,!,–,деп,1
",",әлі,...,24,Ол,1
үрлеп,қойып,",",ауылға,қайтты,1
Қу,соғыстың,бесіктен,беліміз,шықпай,1
нағыз,еркектерше,қиыншылықта,жыламай,бақ,1
мереке,еді,.,Солардың,бірде-бірі,1
қалған,күйелеш,масақты,лып,дегізіп,1
бата,алмай,олар,жаққа,жаутаңдап,1
сөздері,бізге,анық,естілді,.,1
:,«,Топырағың,жеңіл,болсын,1
белім-ай,",",көп,отырып,қаппын,1
күйіп,қалады,.,Тек,түнде,1
ілесе,сыртқа,шықты,.,–,1
Мен,есікті,ашқанда-ақ,Аян,жүзі,1
келген,шана,әлгі,төмпешікке,жеткенде,1
.,–,Ал,мен,бар,1
бұлттанып,",",оңынан,баяу,ғана,1
...,Мен,білдім,",",–,1
оның,ертегі,айтатынын,білгеміз,жоқ,1
.,–,Мен,беріп,жүрмін,1
",",менен,кейін,тағы,біреу,1
домалаушы,едік,...,Аянның,тобығы,1
аяғым,қатты,ауырды,",",–,1
",",апам,да,жоқ,",",1
тыңдайсыңдар,ма,деді,?,–,1
Олар,ұйықтасымен-ақ,Аян,әлгінде,ышқырына,1
екенін,білмеймін,",",ойының,осылғырдың,1
басына,келді,.,Өзінің,шанасы,1
Аянның,бет-аузына,былшылдатып,соға,бастады,1
.,–,Осы,анау,",",1
күндізден,қалтамызға,10,жылқының,кепкен,1
қылушы,едік,.,Кейде,кешкілік,1
Жалғыз,май,шамның,өлеусіреген,жарығында,1
көп,үндемейтін,Қосым,тырнауық,та,1
кәдімгідей,ешкі,сирақтандырып,ұзын,етіп,1
Кейін,қолым,тисе,",",базарға,1
отырам,.,Бапайдың,кемпірі,шалы,1
деді,дірілдеген,үнмен,.,–,1
көне,кететін,жұмсақ,мінезі,бізді,1
де,ұмытып,кетіппіз,.,Сықылықтап,1
қатарласа,салынған,төсегіме,жаттым,.,1
айқайлап,жіберді,де,шоңқаң,етіп,1
тағатың,жетпейтін,.,Сондықтан,ендігі,1
кезде,ғана,:,–,Ағам,1
Алыста,қалған,балалық,шағым,...,1
–,деп,түйетінбіз,.,Ал,1
қолыңнан,именшектеп,алатын,да,",",1
!,–,деп,айқайлады,.,1
бірдей,ағып,",",әрқайсымыз,әр,1
ердік,.,Сайға,түскен,соң,1
–,Жоға,.,Әлгі,шал,1
үйге,бұрылды,.,Мен,де,1
отыратынбыз,.,Ғажап,ертегілер,!,1
ме,екен,?,Ондай,бала,1
жетер,енді,",",–,дейтін,1
кенелгеніне,шын,жүректен,қуанатынбыз,...,1
",",біз,бір,топ,бала,1
Үйдің,сырт,жағына,кеп,шаналарымызды,1
Әй,",",Аян,",",қайдасың,1
заттай,илектеніп,жата,берді,.,1
балалар,",",Аянды,көп,уақытқа,1
ұйқыда,жатқан,секілді,.,Оның,1
жарқ-жұрқ,еткен,көк,семсер,тұрғанда,1
екен,...,»,Осы,тұста,1
сөзіне,күлімсіреп,.,–,Қоңыр,1
",",әлімжеттік,етіп,сабаған,.,1
орнына,салу,оңай,емес,.,1
бірден,үйіріп,әкетті,.,Ең,1
қалған,бойымызды,жазып,",",керіліп-созылып,1
басынан,аяғына,дейін,зырқыраған,шананың,1
қайда,екен,?,Тірі,ме,1
көңілге,олқы,түсіп,",",ойыншық,1
Бірде,сыңсып,",",бірде,ұлығандай,1
",",жыра-құзды,тегіс,:,жалмауыз,1
О,",",желкең,қиылсын,сенің,1
көзді,дәулер,",",дию-перілер,жайлап,1
бір-ақ,салғызам,.,Ағам,қалаға,1
:,–,Енелеріңді,ұрайын,",",1
Өзінің,жауап,қайыра,алмағанына,налығандай,1
Онан,Есікбай,:,–,Кәне,1
тап,терезенің,түбіне,кеп,үймелегендері,1
біткен,кезде,ғана,«,уһ,1
Үйге,келсем,",",төсектер,салулы,1
Ауылға,апаруға,көлік,болмады,.,1
орап,",",бұрқылдата,лақтырып,",",1
ішіп,болғанша,Аянды,күтіп,отырам,1
сияқты,көрінді,.,Бір,күндері,1
",",олардың,шырылдаған,қызыл,шақа,1
жылап,отыр,.,Не,болды,1
сөзге,келмейтіндігі,еді,.,Бірекі,1
қағазды,бір-бір,парақтан,үлестіріп,беріп,1
кемпірі,кеп,Аянның,бетінен,сүйді,1
отырайық,...,Біз,санымызды,шапақтап,1
де,біздің,сөзімізге,құлақ,салмайтын,1
қана,:,Көкше,бір,таудың,1
қайыстай,қатқан,ұзын,",",жүгіргенде,1
атала,көже,сияқты,бірдеңені,қалғып-мүлгіп,1
",",қаңырығымыз,түтеп,",",қарнымыз,1
оған,бір,сорғызды,.,Қосым,1
Ойбай,",",болды,",",болды,1
желпіне,тоқтаған,Аян,:,–,1
тығыла,түсетінбіз,.,Ертегі,біткен,1
шайнап-шайнап,түкіріп,тастайтынмын,.,Кейде,1
сол,аяғын,жер,сыпырғандай,көлденең,1
жусанның,иісі,шығып,тұрады,",",1
күніне,бір,рет,қана,тиетін,1
Әй,",",ұл,",",айдасаңшы,1
",",бір-бірімізге,«,уралап,»,1
Қазір,сол,Тұржан,жүгіріп,жеткен,1
Ендігі,оның,қуанышында,шек,жоқ,1
–,Сәл,үнсіз,отырған,соң,1
тауып,кеттік,.,–,Осы,1
–,деп,ұрсып-ұрсып,қуып,тастайды,1
:,–,Аян,балалар,үйіне,1
