етігімен,теуіп,кеп,1
ұзақ,тұрды,.,1
иінінен,алқына,дем,1
жараның,тыртығы,өмір,1
жылатып,жіберетін,.,1
әркім-ақ,ойлай,бастаған,1
төбелесқор,",",сотқар,1
бопты,...,–,3
Аянның,тобығы,осындай,1
Есікбай,",",–,1
",",көзі,жалт-жұлт,1
күліп,кеп,шанаға,1
",",не,ішіп,1
қара,",",кімдікі,1
таулы,жердің,күні,1
Шынында,да,бұл,1
қаралы,қағаз,ешкімнің,1
көрінетін,.,Сонан,1
шылым,орап,",",1
",",жерді,солқылдатып,1
бұрқырата,сорушы,едік,1
ит,талағандай,алым-жұлым,1
кейбіреулеріміздің,үйіміз,темекі,1
мақтай,жөнелді,.,1
омырауына,тұмсығын,тығып,2
«,аттанға,»,1
кейін,жуынып-шайынып,Асылбектің,1
әркім,біледі,.,1
де,оның,сөзіне,1
болған,Аян,ақырында,1
қалқып,",",шаңытып,1
уақытта,",",бас,1
",",апам,көзін,1
Мен,де,ердім,1
",",әйтеуір,",",1
жаққа,жаутаңдап,қарап,1
",",«,Аян,1
ояна,кетсем,апам,1
шанамды,іздей,бастадым,1
салғызып,",",әлгінің,1
береміз,.,Енді,1
бардық,.,Ауылға,1
.,Шетімізден,ит,1
онан,соң,шынысын,1
мені,желкемнен,бір,1
үйренісіп,алғаннан,кейін,1
санымызды,шапақтап,уралап,1
Өзі,айтқаннан,ба,1
Аян,әжесінің,тумаласы,1
сыбап,боқтап,:,1
дүбірі,дәл,біздің,1
Тұрдағұл,ылғи,",",1
сырғанауға,беріп,жүрдік,1
–,бүкіл,Ешкіөлмес,1
.,–,Тура,1
",",оны,талай,1
ертеңгі,күннің,ашық,1
Тұра,ғой,.,1
де,",",мазмұны,1
де,",",әлгі,1
неше,түрлі,ертегілерді,1
.,«,Бұл,1
үйіріле,бастаған,кезде,1
",",тәтті,арманға,1
адамдай,бар-жоғын,киініп,1
Есікбай,сілекейін,Аянға,1
?,!,Жусанның,1
...,ауырады,...,1
ғана,жылтырап,",",1
төңіректі,–,бүкіл,1
Біз,үйге,кірдік,1
уыс,қуырған,бидай,1
бәрімізге,бір-бір,қарап,1
құлаштай,сілтейсің,.,1
шалдың,үйіне,көшті,1
тұнжыраған,қалпында,бәріміздің,1
темекісін,барлығымыз,бір-бір,1
етпеуші,еді,.,1
жайшылықтағыдан,әлдеқайда,көп,1
жер,жүргеннен,кейін,1
еді,",",тағы,1
күн,батқанша,салп-сұлп,1
мысық,",",әйтпесе,1
өтіп,:,–,1
топырақ,орап,",",1
тұста,Аян,көзі,1
қызықсыңдар,",",бір,1
арасынан,сызылта,шырт,1
екен,ғой,.,1
дейін,тоспа,басында,1
